theta,phi,t_FRP,w_f,prestress,E1_FRP,radius,pull_corners_needed,has_inflection
0.0,90.0,0.03479776180171462,7.019159840976056,4.413560257300431,171965.06853923117,79.73100028445862,False,False
0.0,90.0,0.03479776180171462,7.019159840976056,4.413560257300431,171965.06853923117,79.73100028445862,False,False
0.0,90.0,0.037071324740911134,11.43654981936779,7.834318230442082,53705.15872530386,50.805328972294916,True,False
0.0,90.0,0.05117982093954588,10.511605263359593,6.448234144077606,177955.64672496062,79.27048031632266,True,False
0.0,90.0,0.049629794576515875,14.208857987920762,5.039399104772708,117091.6314386219,101.19380959579047,True,False
0.0,90.0,0.03949693009259942,9.605688718043163,4.865379209189076,55158.96502964877,71.83470940837735,True,False
0.0,90.0,0.032004723320068505,6.671389300271276,7.15211674715688,162572.25764549215,53.021916229400546,True,False
0.0,90.0,0.04110521889734009,10.377121082175922,7.32312925079405,134592.7460682583,60.96559367336199,True,False
0.0,90.0,0.04647447073545487,6.000119466499972,5.5700901555144835,246300.78731324992,79.55266734745614,True,False
0.0,90.0,0.02513088193890681,8.820627568231345,7.037633816253084,214808.85090953045,53.945638778873175,True,False
0.0,90.0,0.03165523603215716,7.40933032739224,5.284363179832555,153178.0905072366,67.11383046900352,True,False
0.0,90.0,0.03361777174700971,13.601371140910414,5.4979441700216825,73232.23254967105,62.8847278428077,True,False
0.0,90.0,0.026896204052461122,14.77157995834215,6.225684234856842,125864.04222077911,,True,True
0.0,90.0,0.05876211758634419,10.10751777567111,7.502518638780236,109078.378734786,72.13542202968206,True,False
0.0,90.0,0.05076117122012641,14.517598207722125,4.6524656116038905,245533.08551935104,,True,True
0.0,90.0,0.02886297865059562,13.51513599957494,4.540797744234461,228903.46275888942,75.83297839557613,True,False
0.0,90.0,0.027478826423498037,8.174935207165777,7.045453496769367,143887.45144525284,,True,True
0.0,90.0,0.05932141985963358,7.120360174474557,7.395569700223586,90825.93330025297,67.87560488226306,True,False
0.0,90.0,0.056345639356464076,8.041338312249886,4.5747220066861285,83509.86118693146,92.1501715103942,True,False
0.0,90.0,0.03630606932350729,9.892520471444232,5.9161688858768455,61143.851071148856,61.05918344826318,True,False
0.0,90.0,0.02846797741085926,14.036101071601365,4.0653390043190365,178477.1079867768,78.68506960066634,True,False
0.0,90.0,0.054428448666586624,13.099815849031467,6.342129199338649,158500.3790716926,93.94722626801521,True,False
0.0,90.0,0.03491668965801577,14.363079756794225,5.19011526994737,225478.40720601776,78.60222423721088,True,False
0.0,90.0,0.05395762925025964,9.315985739982391,5.262666502261231,230789.68898223716,97.49420755800341,True,False
0.0,90.0,0.04881094367166394,6.784031313024234,5.938823932111059,185489.77446594212,60.79893349395085,True,False
0.0,90.0,0.04448744762544477,12.775041063545054,5.656897071403735,131591.53279173007,78.48662797992387,True,False
0.0,90.0,0.036173759332714196,13.782091986434576,4.305659188782449,147522.8334402846,85.39508024817081,True,False
0.0,90.0,0.03865691185005842,11.242975830516489,5.3682750755728765,191370.0876605711,76.52686446214041,True,False
0.0,90.0,0.040150017479733034,12.50783184137544,5.819356397123109,75316.90108032942,66.65702251443159,True,False
0.0,90.0,0.04691063831330492,13.258704429044641,7.527793177548142,95507.19188134323,63.339190781293134,True,False
0.0,90.0,0.033210958781643145,10.237597353362421,6.761475583738638,218882.12104171797,61.45601881398589,True,False
0.0,90.0,0.05240804664627381,12.325469481342585,4.382661530978487,168744.9873191922,124.96530631733057,True,False
0.0,90.0,0.031271877282178125,12.055676468692546,7.890738919928598,120952.52951265394,,True,True
0.0,90.0,0.05560248894943705,6.256455974505898,6.8258880032558835,208500.11843455816,60.45356840418311,True,False
0.0,90.0,0.043560336040126144,7.803620948940704,7.93645826815636,211375.7116784795,61.74482890077477,True,False
0.0,90.0,0.04236547257236405,13.007427977703419,5.091866566249912,68926.90255945784,75.42931407342003,True,False
0.0,90.0,0.04790805413853219,6.4731787703392145,6.882605254581495,234407.81842733495,59.9966059692069,True,False
0.0,90.0,0.056963113965906795,14.928446156314795,7.6123971265569335,113100.67842214051,85.38291903614119,True,False
0.0,90.0,0.04069710730200228,8.375534377472523,4.951703404563563,102032.97580567625,76.08251043330387,True,False
0.0,90.0,0.04552446164824253,7.766735918245233,5.697079003262729,98967.97813614715,72.539799108319,True,False
0.0,90.0,0.05160650984544284,11.001740543816371,6.515679780578814,240006.0154682463,85.54579858274641,True,False
0.0,90.0,0.05309336147786964,9.469526537966852,6.675565115235816,138056.83579332198,74.81881743384719,True,False
0.0,90.0,0.05730630343750488,11.161451417324653,4.75910988334913,65991.78434385496,97.55797003874267,True,False
0.0,90.0,0.0452809219639006,7.460071201821782,4.141246380950204,203167.13766193896,60.9331335963702,True,False
0.0,90.0,0.03784157783227299,9.197535712799255,4.186027555099001,154046.62461201358,86.14799423800632,False,False
0.0,90.0,0.05819075475055514,10.847071764769662,6.057265342666542,194774.6577226552,98.0786278260757,True,False
0.0,90.0,0.04847109283577925,8.89545330864226,7.252119800270737,127350.23288663653,65.94214960683405,True,False
0.0,90.0,0.030404047741696,8.634650684200743,6.563071412305195,201686.54923027012,59.55314085769594,True,False
0.0,90.0,0.026051641805409188,11.924530136262806,6.305168864252144,186683.15864766677,,True,True
0.0,90.0,0.029366569628926704,12.214012542708149,6.107923906857177,87914.46084745947,56.341198447384215,True,False
0.0,90.0,0.04284581462844479,11.673651383573265,7.716815769281595,79706.4957741625,57.0357767598151,True,False
