Job ID,L,w_f,E1_FRP,E2_FRP,nu12_FRP,G12_FRP,G13_FRP,G23_FRP,rho_FRP,rho_m,C10_m,D1_m,rho_t,E_t,nu_t,t_t,t_FRP,layup,meshSize,prestress,uz_pull,cpus,Radius,Has_Inflection,Is_Tristable
0428_1621_008,87.76616739187136,6.807083876341754,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.15821047516925454,0.041958918105755534,"[0, 90, 0]",2.54,5.713563159962717,8.0,1,,,True
0428_1813_009,100.99308697576981,13.798523265433268,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.12040219352778009,0.036096769822667185,"[0, 90, 0]",2.54,7.172568590988193,8.0,1,63.10653555598893,True,False
0428_1817_010,121.55000710423992,7.906412947843362,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.10004133681575607,0.04613471392396842,"[0, 90, 0]",2.54,7.20948369339912,8.0,1,,,True
0428_2052_011,92.1784615287825,9.622466588405166,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.150514278971353,0.052301090004661065,"[0, 90, 0]",2.54,4.521718898682474,8.0,1,,,True
0428_2109_012,101.799974405969,10.340817564691656,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.1435130508031552,0.04575953772520386,"[0, 90, 0]",2.54,3.6889142405853095,8.0,1,,,True
0428_2126_013,102.77023778199673,16.167023316608656,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.13202850750828204,0.03347429950657425,"[0, 90, 0]",2.54,7.428305354819688,8.0,1,60.5255118059629,True,False
0428_2128_014,109.0071272032356,9.156352294667837,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.16086375617139842,0.0499542717474944,"[0, 90, 0]",2.54,5.807212276885468,8.0,1,52.588737138467195,True,False
0428_2250_015,95.76979527140328,11.198346766709278,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.15405303886785932,0.050359398154057294,"[0, 90, 0]",2.54,6.644513664725685,8.0,1,,,True
0428_2253_016,71.4209508354644,14.735477307431477,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.06575778884602738,0.036159467608414306,"[0, 90, 0]",2.54,6.256722242388517,8.0,1,112.03917387804248,True,False
0428_2255_017,65.59156260735797,9.667508435382718,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.12006098348489937,0.03790806362740875,"[0, 90, 0]",2.54,6.821903570857637,8.0,1,,,True
0428_2306_018,98.49265198698627,9.881449281122375,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.11357036448505278,0.020437370830114085,"[0, 90, 0]",2.54,5.660754380429303,8.0,1,,,True
0429_0011_019,63.85666058999192,13.290878973587944,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.11843014572258379,0.045808523027883595,"[0, 90, 0]",2.54,7.31019259918891,8.0,1,425.7790785319869,True,False
