theta,phi,t_FRP,w_f,prestress,E1_FRP,radius,pull_corners_needed,has_inflection
-73.69663344494391,-77.96980661626083,0.04,10.492345417867433,7.353006393326822,213911.07352141052,63.30456796647399,True,False
-73.69663344494391,-77.96980661626083,0.04373090233957204,10.492345417867433,7.353006393326822,213911.07352141052,,True,True
35.33673702085231,36.74942044347014,0.03233246835685369,12.91401984044453,6.015302905371161,192133.3810160353,,True,True
-52.43087938102259,-12.41994823871623,0.025890892976746366,6.261474394732652,5.180825842862929,158602.30765225255,,True,True
-18.066293715095497,-19.516560891840214,0.05372185782685881,6.05889157996416,6.852318464174722,100114.25675001161,,True,True
-58.93231932342495,53.812859921723685,0.033524050499688124,11.303227899596012,5.056125242112779,157754.32916279728,,True,True
-85.56068868181626,54.78992205677349,0.051100699723634235,12.471608646366095,7.016248107985825,137004.96761883234,,True,True
-24.487324084645422,0.0677574005698176,0.039286149499856426,12.821409359675062,5.840997350392222,242917.85919039595,,True,True
81.21485254874429,-43.67834290794242,0.03003083601355996,8.667945912993702,6.114034446539567,209880.71793836975,,True,True
57.200033596343445,-55.11359338445015,0.05818783525448872,11.80775556664153,5.603849019152611,126217.03038141235,,True,True
71.63562266156865,-5.0468786654552815,0.0494124043623732,8.26072071306732,5.2733603793266965,203769.26485732655,,True,True
14.248225176669493,84.9798648203755,0.04999901549691223,12.829608439201678,5.625328183415112,72043.75135663824,,True,True
-82.1917240861018,-32.377423770220815,0.05655421453161788,9.296066728137722,4.524683240131518,111852.84994059685,,True,True
49.02870845222924,29.571253842001795,0.047237697408536866,9.883461171844397,7.895844309206437,178142.69536685292,,True,True
37.06696611055308,40.649664467546415,0.04830496120491903,9.006006838851896,5.405190098896564,138709.20505463655,,True,True
-4.073429984119116,62.184814931520464,0.04001976470110601,10.981191594306797,6.8318095059642925,56985.29753403266,58.239003384692985,True,False
-33.623492725565924,-72.5604917076072,0.05826072716109175,7.645130506316151,4.169964593584705,199682.76701743843,,True,True
4.817196046344918,-54.579662206952435,0.0314247175309737,14.425848950413904,6.349379218970308,151865.92288680817,60.938084198689914,True,False
-12.422993761957045,-87.98412570660211,0.05313346259694355,13.344247047266414,4.661731584353236,141453.2716085576,,True,True
62.108905878495904,50.89182539542426,0.03380324428528856,12.552141466878663,6.0417544929227525,231307.58477601022,,True,True
-56.72920177237427,-6.929289656403256,0.04267018168899853,8.606932882257665,5.3260947172253,185123.99834678532,,True,True
-73.53882832002122,-15.797291889323517,0.03701725799973682,7.842209813550904,4.221853882149504,220079.18112211427,,True,True
73.32334242964413,-51.10304677522965,0.05494336203861662,12.133202498109132,6.484251463478721,109510.36110155086,,True,True
-63.9524653058849,13.225568764006624,0.025447551671045544,6.631360694871621,7.179512877009301,123446.65769856203,,True,True
-26.07275744849626,-24.85051417823321,0.04183457702820027,13.970940515206106,7.609031659762579,200559.7501899992,,True,True
25.886593368331532,79.32341630833537,0.02970849603017739,11.588334232494617,7.235926274266557,212453.98344878192,,True,True
-45.327664495835734,18.370081253889282,0.02834068672988517,10.334426465671548,7.541126735799315,62344.87798445527,,True,True
